TSLA
AAPL
AMC
F
SNDL
AMZN
MSFT
DIS
NIO
FB
TWTR
NFLX
LCID
NVDA
PFE
VOO
SNAP
GPRO
AAL
PLUG
BABA
HOOD
SPY
ACB
CCL
BAC
PLTR
NOK
DAL
SBUX
AMD
GOOGL
GME
RIVN
TLRY
COIN
OGI
KO
T
CGC
SPCE
PYPL
MRNA
BB
VTI
UBER
RBLX
FCEL
GM
CENN
GE
SQ
WKHS
NCLH
PSEC
ZNGA
DKNG
BA
ABNB
WMT
CRON
UAL
QQQ
SIRI
CHPT
NKLA
JNJ
DWAC
LUV
XOM
MRO
NKE
SOFI
ARKK
PTON
OCGN
RIOT
JBLU
INTC
BNGO
ET
WISH
SONY
GOOG
COST
RYCEY
RCL
SHOP
BRK.B
TSM
V
CLOV
CPRX
JPM
IVR
ZM
NRZ
PENN
FUBO
GSAT
